Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AgiltooTestSuite,,,,2023-07-07 10:06:04,2023-07-07 10:06:28,"24,164s",PASSED
,,,,,,,
Test Cases/Get_all_Products,,,,2023-07-07 10:06:04,2023-07-07 10:06:08,"3,577s",PASSED
"sendRequestAndVerify(findTestObject(""RestAPI/Grocery/Products""))",,,,2023-07-07 10:06:04,2023-07-07 10:06:08,"3,337s",PASSED
,,,,,,,
Test Cases/Order Creation,,,,2023-07-07 10:06:08,2023-07-07 10:06:12,"3,966s",PASSED
"response = sendRequestAndVerify(findTestObject(""RestAPI/Grocery/Cart""))",,,,2023-07-07 10:06:08,2023-07-07 10:06:09,"1,047s",PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,2023-07-07 10:06:09,2023-07-07 10:06:09,"0,000s",PASSED
object = jsonSlurper.parseText(response.getResponseBodyContent()),,,,2023-07-07 10:06:09,2023-07-07 10:06:09,"0,000s",PASSED
basketId = cartId,,,,2023-07-07 10:06:09,2023-07-07 10:06:09,"0,001s",PASSED
"sendRequestAndVerify(findTestObject(""RestAPI/Grocery/Add Items"", [""Id"":basketId]))",,,,2023-07-07 10:06:09,2023-07-07 10:06:10,"1,019s",PASSED
"sendRequest(findTestObject(""RestAPI/Grocery/Register client"", [""Username"":username, ""Email"":mail]))",,,,2023-07-07 10:06:10,2023-07-07 10:06:11,"0,812s",PASSED
"sendRequestAndVerify(findTestObject(""RestAPI/Grocery/Order"", [""bearer"":token, ""carstId"":basketId]))",,,,2023-07-07 10:06:11,2023-07-07 10:06:12,"0,920s",PASSED
,,,,,,,
Test Cases/Order Creation,,,,2023-07-07 10:06:12,2023-07-07 10:06:16,"3,843s",PASSED
"response = sendRequestAndVerify(findTestObject(""RestAPI/Grocery/Cart""))",,,,2023-07-07 10:06:12,2023-07-07 10:06:13,"1,145s",PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,2023-07-07 10:06:13,2023-07-07 10:06:13,"0,000s",PASSED
object = jsonSlurper.parseText(response.getResponseBodyContent()),,,,2023-07-07 10:06:13,2023-07-07 10:06:13,"0,001s",PASSED
basketId = cartId,,,,2023-07-07 10:06:13,2023-07-07 10:06:13,"0,000s",PASSED
"sendRequestAndVerify(findTestObject(""RestAPI/Grocery/Add Items"", [""Id"":basketId]))",,,,2023-07-07 10:06:13,2023-07-07 10:06:14,"1,135s",PASSED
"sendRequest(findTestObject(""RestAPI/Grocery/Register client"", [""Username"":username, ""Email"":mail]))",,,,2023-07-07 10:06:14,2023-07-07 10:06:15,"0,774s",PASSED
"sendRequestAndVerify(findTestObject(""RestAPI/Grocery/Order"", [""bearer"":token, ""carstId"":basketId]))",,,,2023-07-07 10:06:15,2023-07-07 10:06:16,"0,778s",PASSED
,,,,,,,
Test Cases/Order Creation,,,,2023-07-07 10:06:16,2023-07-07 10:06:20,"4,632s",PASSED
"response = sendRequestAndVerify(findTestObject(""RestAPI/Grocery/Cart""))",,,,2023-07-07 10:06:16,2023-07-07 10:06:17,"1,026s",PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,2023-07-07 10:06:17,2023-07-07 10:06:17,"0,000s",PASSED
object = jsonSlurper.parseText(response.getResponseBodyContent()),,,,2023-07-07 10:06:17,2023-07-07 10:06:17,"0,001s",PASSED
basketId = cartId,,,,2023-07-07 10:06:17,2023-07-07 10:06:17,"0,002s",PASSED
"sendRequestAndVerify(findTestObject(""RestAPI/Grocery/Add Items"", [""Id"":basketId]))",,,,2023-07-07 10:06:17,2023-07-07 10:06:18,"1,006s",PASSED
"sendRequest(findTestObject(""RestAPI/Grocery/Register client"", [""Username"":username, ""Email"":mail]))",,,,2023-07-07 10:06:18,2023-07-07 10:06:19,"1,691s",PASSED
"sendRequestAndVerify(findTestObject(""RestAPI/Grocery/Order"", [""bearer"":token, ""carstId"":basketId]))",,,,2023-07-07 10:06:19,2023-07-07 10:06:20,"0,899s",PASSED
,,,,,,,
Test Cases/Order Creation,,,,2023-07-07 10:06:20,2023-07-07 10:06:24,"3,883s",PASSED
"response = sendRequestAndVerify(findTestObject(""RestAPI/Grocery/Cart""))",,,,2023-07-07 10:06:20,2023-07-07 10:06:21,"1,215s",PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,2023-07-07 10:06:21,2023-07-07 10:06:21,"0,000s",PASSED
object = jsonSlurper.parseText(response.getResponseBodyContent()),,,,2023-07-07 10:06:21,2023-07-07 10:06:21,"0,000s",PASSED
basketId = cartId,,,,2023-07-07 10:06:21,2023-07-07 10:06:21,"0,000s",PASSED
"sendRequestAndVerify(findTestObject(""RestAPI/Grocery/Add Items"", [""Id"":basketId]))",,,,2023-07-07 10:06:21,2023-07-07 10:06:22,"0,985s",PASSED
"sendRequest(findTestObject(""RestAPI/Grocery/Register client"", [""Username"":username, ""Email"":mail]))",,,,2023-07-07 10:06:22,2023-07-07 10:06:23,"0,770s",PASSED
"sendRequestAndVerify(findTestObject(""RestAPI/Grocery/Order"", [""bearer"":token, ""carstId"":basketId]))",,,,2023-07-07 10:06:23,2023-07-07 10:06:24,"0,904s",PASSED
,,,,,,,
Test Cases/Order Creation,,,,2023-07-07 10:06:24,2023-07-07 10:06:28,"3,857s",PASSED
"response = sendRequestAndVerify(findTestObject(""RestAPI/Grocery/Cart""))",,,,2023-07-07 10:06:24,2023-07-07 10:06:25,"1,032s",PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,2023-07-07 10:06:25,2023-07-07 10:06:25,"0,000s",PASSED
